sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,387,656.9208,657.3875,0.4667,0.4666667,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,388,658.0875,658.5208,0.4333,0.43333337,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,389,659.2209,659.7209,0.4999,0.5,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,390,660.4210,660.9877,0.5667,0.5666667,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,391,661.6878,662.3545,0.6667,0.6666667,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,1,0
first,392,663.0544,663.2378,0.1834,0.18333334,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,1,0
first,393,663.9379,664.5212,0.5834,0.5833334,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,394,665.2213,665.7043,0.4830,0.48333335,(-275.0;0.0),(275.0;0.0),0.2082,0.2,0,0,1
first,395,666.4044,667.0048,0.6003,0.6,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,0,0
first,396,667.7047,668.2713,0.5667,0.5666667,(275.0;0.0),(-275.0;0.0),0.0082,0.0,1,1,1
first,397,668.9715,669.5049,0.5334,0.53333336,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,1,1
first,398,670.2049,670.7217,0.5168,0.5166667,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,1,1
first,399,671.4217,671.9884,0.5667,0.5666667,(275.0;0.0),(-275.0;0.0),0.2088,0.0167,1,1,1
first,400,672.6884,673.3884,0.7000,0.70000005,(-275.0;0.0),(275.0;0.0),0.0235,0.0,0,0,1
first,401,674.0884,674.6717,0.5833,0.5833334,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,1,0
first,402,675.3717,676.1220,0.7504,0.75000006,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,0,1
first,403,676.8219,677.3720,0.5501,0.55,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,0,0
first,404,678.0720,678.6387,0.5667,0.5666667,(-275.0;0.0),(275.0;0.0),0.5171,0.45,0,0,1
first,405,679.3387,679.8054,0.4666,0.4666667,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,406,680.5055,681.1887,0.6833,0.6833334,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,407,681.8889,682.5389,0.6500,0.65000004,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,1,1
first,408,683.2390,683.7390,0.5000,0.5,(-275.0;0.0),(275.0;0.0),0.1921,0.0,0,0,1
first,409,684.4391,685.0558,0.6167,0.6166667,(-275.0;0.0),(275.0;0.0),0.0029,0.0,0,1,0
first,410,685.7558,686.6058,0.8500,0.85,(-275.0;0.0),(275.0;0.0),0.0098,0.0088,0,0,1
first,411,687.3059,687.8893,0.5834,0.5833334,(275.0;0.0),(-275.0;0.0),0.6421,0.45,1,1,1
first,412,688.5893,689.0227,0.4334,0.43333337,(275.0;0.0),(-275.0;0.0),0.1921,0.0,1,1,1
first,413,689.7225,690.3562,0.6336,0.6333334,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,0,0
first,414,691.0561,691.8226,0.7665,0.7666667,(275.0;0.0),(-275.0;0.0),0.0177,0.0167,1,1,1
first,415,692.5228,693.1562,0.6334,0.6333334,(275.0;0.0),(-275.0;0.0),0.017,0.0088,1,1,1
first,416,693.8561,694.3729,0.5168,0.5166667,(275.0;0.0),(-275.0;0.0),0.75,0.2,1,1,1
first,417,695.0730,695.7230,0.6501,0.65000004,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,1,0
first,418,696.4230,696.7731,0.3501,0.35000002,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,1,1
first,419,697.4732,698.1064,0.6333,0.6333334,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,0,0
first,420,698.8065,699.6064,0.7999,0.8000001,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,1,1
first,421,700.3066,700.8735,0.5670,0.5666667,(-275.0;0.0),(275.0;0.0),0.0098,0.0088,0,1,0
first,422,701.5733,702.0902,0.5169,0.5166667,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
first,423,702.7900,703.3234,0.5335,0.53333336,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,424,704.0235,704.7069,0.6834,0.6833334,(275.0;0.0),(-275.0;0.0),0.0098,0.0088,1,1,1
first,425,705.4069,705.9238,0.5169,0.5166667,(275.0;0.0),(-275.0;0.0),0.75,0.2,1,1,1
first,426,706.6236,707.1403,0.5167,0.5166667,(275.0;0.0),(-275.0;0.0),0.001,0.0,1,1,1
first,427,707.8403,708.3071,0.4668,0.4666667,(275.0;0.0),(-275.0;0.0),0.0735,0.05,1,1,1
first,428,709.0070,709.5071,0.5001,0.5,(-275.0;0.0),(275.0;0.0),0.75,0.2,0,0,1
first,429,710.2071,710.6905,0.4834,0.48333335,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,0,1
first,430,711.3906,711.8740,0.4835,0.48333335,(275.0;0.0),(-275.0;0.0),0.4735,0.45,1,0,0
first,431,712.5739,713.2241,0.6501,0.65000004,(-275.0;0.0),(275.0;0.0),0.0735,0.05,0,1,0
first,432,713.9239,714.5073,0.5834,0.5833334,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,433,715.2074,716.0407,0.8333,0.8333334,(-275.0;0.0),(275.0;0.0),0.001,0.0,0,0,1
first,434,716.7408,717.2576,0.5168,0.5166667,(-275.0;0.0),(275.0;0.0),0.3921,0.2,0,0,1
first,435,717.9578,718.8406,0.8829,0.8833334,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,1,1
first,436,719.5410,720.3077,0.7668,0.7666667,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,1,1
first,437,721.0077,721.5745,0.5669,0.5666667,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,438,722.2745,722.9746,0.7001,0.70000005,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,0,1
first,439,723.6746,724.1913,0.5167,0.5166667,(-275.0;0.0),(275.0;0.0),0.0235,0.0,0,0,1
first,440,724.8913,725.6247,0.7334,0.73333335,(-275.0;0.0),(275.0;0.0),0.0082,0.0,0,0,1
first,441,726.3247,726.5747,0.2500,0.25,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,0,1
first,442,727.2747,727.7919,0.5172,0.5166667,(-275.0;0.0),(275.0;0.0),0.2671,0.2,0,0,1
first,443,728.4915,728.8915,0.4000,0.40000004,(-275.0;0.0),(275.0;0.0),0.0402,0.0167,0,0,1
first,444,729.5915,730.0580,0.4664,0.4666667,(-275.0;0.0),(275.0;0.0),0.0177,0.0167,0,0,1
first,445,730.7583,731.2085,0.4502,0.45000002,(-275.0;0.0),(275.0;0.0),0.0671,0.0,0,0,1
first,446,731.9084,732.3584,0.4501,0.45000002,(-275.0;0.0),(275.0;0.0),1.0,0.45,0,0,1
first,447,733.0584,733.6252,0.5668,0.5666667,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,1,1
first,448,734.3252,734.7752,0.4500,0.45000002,(275.0;0.0),(-275.0;0.0),1.0,0.45,1,1,1
