sceneName,sceneVersion,sceneStart,sceneEnd,sceneDuration,sceneTeoricDuration,stim0_position_xy,stim1_position_xy,stim0_contrastValue,stim1_contrastValue,correctValue,response,isCorrect
first,122,335.1194,336.2361,1.1166,1.1166667,(-275.0;0.0),(275.0;0.0),0.0196,0.0167,0,1,0
first,123,336.9360,337.8694,0.9333,0.9333334,(275.0;0.0),(-275.0;0.0),0.0838,0.0167,1,1,1
first,124,338.5694,339.5359,0.9665,0.9666667,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,125,340.2362,341.1363,0.9001,0.90000004,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,126,341.8364,342.7863,0.9499,0.95000005,(275.0;0.0),(-275.0;0.0),0.3921,0.2,1,1,1
first,127,343.4861,344.3532,0.8671,0.86666673,(-275.0;0.0),(275.0;0.0),0.6421,0.45,0,0,1
first,128,345.0532,346.0699,1.0167,1.0166668,(275.0;0.0),(-275.0;0.0),0.0759,0.0088,1,1,1
first,129,346.7701,348.0367,1.2666,1.2666668,(275.0;0.0),(-275.0;0.0),0.0582,0.05,1,1,1
first,130,348.7367,349.5534,0.8167,0.8166667,(-275.0;0.0),(275.0;0.0),0.6,0.05,0,0,1
first,131,350.2534,351.3867,1.1333,1.1333334,(-275.0;0.0),(275.0;0.0),0.0529,0.05,0,1,0
first,132,352.0870,353.4035,1.3165,1.3166667,(275.0;0.0),(-275.0;0.0),0.0235,0.0,1,1,1
first,133,354.1036,355.2204,1.1167,1.1166667,(275.0;0.0),(-275.0;0.0),0.0196,0.0167,1,1,1
first,134,355.9204,356.8703,0.9499,0.95000005,(275.0;0.0),(-275.0;0.0),0.0735,0.05,1,1,1
first,135,357.5705,358.5375,0.9670,0.9666667,(275.0;0.0),(-275.0;0.0),0.4582,0.45,1,1,1
first,136,359.2373,360.1041,0.8668,0.86666673,(-275.0;0.0),(275.0;0.0),0.2009,0.0088,0,0,1
first,137,360.8041,361.7206,0.9166,0.9166667,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,138,362.4209,363.2876,0.8667,0.86666673,(275.0;0.0),(-275.0;0.0),0.0671,0.0,1,1,1
first,139,363.9876,365.0043,1.0167,1.0166668,(275.0;0.0),(-275.0;0.0),0.2235,0.2,1,1,1
first,140,365.7043,366.6712,0.9669,0.9666667,(-275.0;0.0),(275.0;0.0),1.0,0.45,0,0,1
first,141,367.3711,369.3211,1.9501,1.95,(275.0;0.0),(-275.0;0.0),0.2082,0.2,1,1,1
first,142,370.0212,371.1546,1.1334,1.1333334,(-275.0;0.0),(275.0;0.0),0.2235,0.2,0,1,0
first,143,371.8547,372.8547,1.0000,1.0,(-275.0;0.0),(275.0;0.0),0.1171,0.05,0,0,1
first,144,373.5547,374.8550,1.3003,1.3000001,(275.0;0.0),(-275.0;0.0),0.0117,0.0088,1,0,0
first,145,375.5548,376.5883,1.0335,1.0333334,(275.0;0.0),(-275.0;0.0),0.0323,0.0088,1,1,1
first,146,377.2881,378.5051,1.2170,1.2166667,(-275.0;0.0),(275.0;0.0),0.017,0.0088,0,0,1
first,147,379.2050,380.2551,1.0501,1.0500001,(-275.0;0.0),(275.0;0.0),0.0117,0.0088,0,0,1
first,148,380.9551,382.0553,1.1001,1.1,(-275.0;0.0),(275.0;0.0),0.0249,0.0167,0,0,1
first,149,382.7554,383.5887,0.8333,0.8333334,(-275.0;0.0),(275.0;0.0),0.0759,0.0088,0,0,1
